County,crop_name,crop_count
BOMET,Coffee,1940
BOMET,Avocado,44903
BOMET,Citrus,3298
BOMET,Mango,3679
BOMET,Coconut,0
BOMET,Macadamia,0
BOMET,Cashew Nut,0
BOMET,Khat (Miraa),0
KAKAMEGA,Farming,335269
KAKAMEGA,Tea,4644
KAKAMEGA,Coffee,2990
KAKAMEGA,Avocado,63886
KAKAMEGA,Citrus,4435
KAKAMEGA,Mango,49075
KAKAMEGA,Coconut,0
KAKAMEGA,Macadamia,2292
KAKAMEGA,Cashew Nut,0
KAKAMEGA,Khat (Miraa),0
VIHIGA,Farming,113753
VIHIGA,Tea,11273
VIHIGA,Coffee,1717
VIHIGA,Avocado,34321
VIHIGA,Citrus,1233
VIHIGA,Mango,26209
VIHIGA,Coconut,0
VIHIGA,Macadamia,0
VIHIGA,Cashew Nut,0
VIHIGA,Khat (Miraa),0
BUNGOMA,Farming,280445
BUNGOMA,Tea,2047
BUNGOMA,Coffee,37773
BUNGOMA,Avocado,73765
BUNGOMA,Citrus,5268
BUNGOMA,Mango,54581
BUNGOMA,Coconut,0
BUNGOMA,Macadamia,2428
BUNGOMA,Cashew Nut,0
BUNGOMA,Khat (Miraa),0
BUSIA,Farming,148257
BUSIA,Tea,0
BUSIA,Coffee,1498
BUSIA,Avocado,27498
BUSIA,Citrus,3616
BUSIA,Mango,35530
BUSIA,Coconut,0
BUSIA,Macadamia,1148
BUSIA,Cashew Nut,0
BUSIA,Khat (Miraa),0
SIAYA,Farming,194362
SIAYA,Tea,0
SIAYA,Coffee,0
SIAYA,Avocado,31729
SIAYA,Citrus,7350
SIAYA,Mango,44660
SIAYA,Coconut,0
SIAYA,Macadamia,1262
SIAYA,Cashew Nut,0
SIAYA,Khat (Miraa),0
KISUMU,Farming,147117
KISUMU,Tea,0
KISUMU,Coffee,0
KISUMU,Avocado,19478
KISUMU,Citrus,5265
KISUMU,Mango,28305
KISUMU,Coconut,0
KISUMU,Macadamia,0
KISUMU,Cashew Nut,0
KISUMU,Khat (Miraa),0
HOMA BAY,Farming,193812
HOMA BAY,Tea,1365
HOMA BAY,Coffee,2864
HOMA BAY,Avocado,29880
HOMA BAY,Citrus,7496
HOMA BAY,Mango,34557
HOMA BAY,Coconut,0
HOMA BAY,Macadamia,1554
HOMA BAY,Cashew Nut,0
HOMA BAY,Khat (Miraa),0
MIGORI,Farming,169958
MIGORI,Tea,0
MIGORI,Coffee,3864
MIGORI,Avocado,33338
MIGORI,Citrus,4444
MIGORI,Mango,27231
MIGORI,Coconut,0
MIGORI,Macadamia,1196
MIGORI,Cashew Nut,0
MIGORI,Khat (Miraa),0
KISII,Farming,219853
KISII,Tea,67394
KISII,Coffee,53580
KISII,Avocado,88326
KISII,Citrus,3850
KISII,Mango,17144
KISII,Coconut,0
KISII,Macadamia,0
KISII,Cashew Nut,0
KISII,Khat (Miraa),0
NYAMIRA,Farming,110028
NYAMIRA,Tea,62706
NYAMIRA,Coffee,25936
NYAMIRA,Avocado,43349
NYAMIRA,Citrus,2020
NYAMIRA,Mango,3502
NYAMIRA,Coconut,0
NYAMIRA,Macadamia,0
NYAMIRA,Cashew Nut,0
NYAMIRA,Khat (Miraa),0
NAIROBI,Farming,32258
NAIROBI,Tea,0
NAIROBI,Coffee,0
NAIROBI,Avocado,0
NAIROBI,Citrus,0
NAIROBI,Mango,0
NAIROBI,Coconut,0
NAIROBI,Macadamia,0
NAIROBI,Cashew Nut,0
NAIROBI,Khat (Miraa),0
